k,precision,recall,f1,support
1,0.981987,0.992512,0.987216,690.300000
3,0.977678,0.993935,0.985733,690.300000
5,0.979381,0.994004,0.986628,690.300000
7,0.979026,0.992892,0.985898,690.300000
9,0.976841,0.993044,0.984868,690.300000
11,0.975893,0.992580,0.984161,690.300000
13,0.975297,0.992552,0.983839,690.300000
15,0.975001,0.992654,0.983734,690.300000
17,0.973817,0.992032,0.982816,690.300000
19,0.972648,0.992165,0.982303,690.300000
21,0.972685,0.991426,0.981956,690.300000
23,0.971296,0.991592,0.981335,690.300000
25,0.970645,0.991871,0.981136,690.300000
27,0.970097,0.990544,0.980197,690.300000
29,0.969643,0.991173,0.980279,690.300000
31,0.968746,0.990246,0.979365,690.300000
33,0.968582,0.990553,0.979424,690.300000
35,0.967598,0.990308,0.978816,690.300000
37,0.968036,0.990019,0.978894,690.300000
39,0.966086,0.989788,0.977785,690.300000
41,0.965738,0.989576,0.977495,690.300000
43,0.965223,0.989577,0.977226,690.300000
45,0.964935,0.989387,0.976994,690.300000
47,0.964510,0.989024,0.976601,690.300000
49,0.963534,0.988829,0.976001,690.300000
51,0.962628,0.988778,0.975516,690.300000
53,0.961760,0.988627,0.974970,690.300000
55,0.961746,0.988161,0.974769,690.300000
57,0.961739,0.988793,0.975060,690.300000
59,0.961663,0.988667,0.974975,690.300000
61,0.962129,0.988386,0.975059,690.300000
63,0.960922,0.988274,0.974398,690.300000
65,0.961182,0.988723,0.974736,690.300000
67,0.960896,0.987960,0.974232,690.300000
69,0.961242,0.988273,0.974547,690.300000
71,0.960638,0.988003,0.974117,690.300000
73,0.960425,0.987586,0.973804,690.300000
75,0.960151,0.987544,0.973641,690.300000
77,0.960026,0.987403,0.973514,690.300000
79,0.959424,0.987361,0.973166,690.300000
81,0.958574,0.987510,0.972823,690.300000
83,0.958627,0.987234,0.972702,690.300000
85,0.958806,0.987015,0.972698,690.300000
87,0.958731,0.987319,0.972805,690.300000
89,0.959268,0.986453,0.972643,690.300000
91,0.958807,0.986226,0.972313,690.300000
93,0.958816,0.986377,0.972374,690.300000
95,0.958048,0.986270,0.971921,690.300000
97,0.958675,0.985507,0.971889,690.300000
99,0.958256,0.985946,0.971894,690.300000
