k,precision,recall,f1,support
1,"[0.98095612 0.97362777 0.98374003 0.96782443 0.97664786 0.96461962
 0.98013662 0.96355528 0.98460124 0.95612956]","[0.99240846 0.9943876  0.96839341 0.96395757 0.9676986  0.96586749
 0.98855831 0.9777637  0.9431272  0.96490658]","[0.98664277 0.98388739 0.97599365 0.96588147 0.97213153 0.96522263
 0.98432549 0.97056562 0.96340461 0.96047495]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
3,"[0.9769492  0.96319471 0.98284889 0.96776912 0.97817125 0.97086154
 0.98118073 0.96892813 0.98966166 0.95974979]","[0.9930725  0.99566288 0.96873794 0.96854245 0.96959555 0.96522588
 0.98907981 0.97693628 0.9393501  0.96590172]","[0.98492843 0.97915492 0.97572878 0.96814632 0.97385266 0.96802189
 0.98510575 0.97290798 0.96380187 0.96280221]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
5,"[0.97976841 0.9600804  0.98237174 0.97146054 0.97936205 0.96642843
 0.97990004 0.96599376 0.98947967 0.95655222]","[0.9933619  0.99506117 0.96654042 0.96930966 0.96939612 0.96698338
 0.9889692  0.97448634 0.9354468  0.96430171]","[0.98651239 0.97724869 0.97438077 0.97037652 0.97434633 0.9666865
 0.98440161 0.9702076  0.96167819 0.96038193]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
7,"[0.97846351 0.95713686 0.9838926  0.97193891 0.98189608 0.96641988
 0.97860477 0.96336421 0.98783173 0.95250405]","[0.99288266 0.99568584 0.96022945 0.9672518  0.96769252 0.9660642
 0.98904147 0.97316112 0.93511377 0.96612108]","[0.98561687 0.97600981 0.97189712 0.96956715 0.97471452 0.96621463
 0.98379039 0.96821494 0.96072064 0.95923348]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
9,"[0.97788997 0.95315538 0.98455884 0.96833762 0.98152529 0.96832733
 0.97714676 0.96134792 0.98684583 0.94960499]","[0.99305157 0.99429192 0.95751018 0.96727511 0.965325   0.96562147
 0.98887392 0.97234432 0.93234302 0.96221353]","[0.98540461 0.97328248 0.97081994 0.96776877 0.97334204 0.96695434
 0.98297103 0.96680432 0.9587955  0.95584834]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
11,"[0.9763674  0.94852534 0.98406254 0.96579708 0.98222991 0.96538939
 0.97748339 0.96050533 0.98691861 0.94896274]","[0.99246955 0.9949182  0.95510704 0.96599277 0.96325359 0.9642615
 0.98792492 0.97094269 0.92813128 0.96288492]","[0.9843463  0.97114155 0.96936236 0.96587554 0.97262238 0.96480502
 0.98266749 0.96567996 0.95659183 0.95583158]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
13,"[0.97501186 0.94553253 0.98355927 0.96559406 0.98116399 0.96513758
 0.97731134 0.95866494 0.98671422 0.94622593]","[0.99208061 0.99457911 0.95174104 0.96432366 0.96362757 0.96357881
 0.98755114 0.96950274 0.92523164 0.96089947]","[0.98345404 0.9694263  0.96736985 0.96493014 0.97230965 0.96433049
 0.98238242 0.96403714 0.95497326 0.95346354]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
15,"[0.97526973 0.94279484 0.98518205 0.96447625 0.98071152 0.96453845
 0.9752138  0.95576232 0.98622858 0.94612144]","[0.99243083 0.99428708 0.9495531  0.96249778 0.96280827 0.96157943
 0.98718457 0.97028024 0.92339671 0.95931423]","[0.98375019 0.96784545 0.96698016 0.96346429 0.97166372 0.96300647
 0.98115111 0.96292445 0.95372822 0.95264532]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
17,"[0.97438755 0.94023698 0.98425505 0.96315661 0.97978982 0.96260699
 0.97513943 0.95482451 0.98565328 0.94134494]","[0.99231085 0.99404108 0.94585301 0.96155553 0.96212275 0.96029474
 0.98682716 0.96817239 0.91952272 0.95778417]","[0.98325736 0.96637528 0.96464133 0.96234195 0.97084302 0.96142747
 0.98092859 0.96143806 0.9514064  0.94946811]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
19,"[0.97327664 0.9388308  0.98464367 0.96041482 0.9808471  0.9645785
 0.97386727 0.95429234 0.9857608  0.93844965]","[0.99188154 0.99348966 0.94745893 0.96239122 0.95950837 0.95828504
 0.98690029 0.96831257 0.91619665 0.95674653]","[0.98248108 0.96536557 0.96567379 0.96136607 0.97005121 0.96140748
 0.98031789 0.9612221  0.94966511 0.94746873]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
